,file_name,file_datetime,has_bf_label,product_name,product_categories,product_price,product_old_price,product_percentage
42,19.5v-3.33a-65w-ac-power-adapter-charger-for-laptop-ac-adapter-blue-pin-charger-for-pavilion-17-e127sf-pavilion-15-notebook-pc-15-e029tx-15-e026tx-14-e035tx-14-e022tx-14-e021tx-m4-1010tx-envy-17-j106tx-15-j105tx-m4-1009tx-hp-mpg74703.html,2022-11-25 06:04:49.099197,1,Hp 19.5V 3.33A 65W AC Power Adapter Charger For Laptop AC Adapter Blue Pin Charger For Pavilion 17-e127sf Pavilion 15 Notebook Pc 15-e029TX 15-e026tx 14-e035tx 14-e022tx 14-e021tx M4-1010tx ENVY 17-j106tx 15-j105tx M4-1009TX,"Computing,Computer Accessories,Laptop Accessories,Laptop Chargers & Batteries","₦ 4,950","₦ 6,000",18%
43,19v-1.58a-small-round-mouth-mini-laptop-charger-adapter-mpg1517257.html,2022-11-25 06:05:37.482336,0,Hp 19V 1.58A Small Round Mouth Mini Laptop Charger,"Computing,Computers,Laptop Accessories,Chargers & Adapters","₦ 5,300","₦ 6,500",18%
44,1g-silicone-compound-heatsink-thermal-paste-grease-tube-for-cpu-radiator-cooling-universal-mpg158328.html,2022-11-25 06:04:55.183804,0,1g Silicone Compound Heatsink Thermal Paste Grease Tube For CPU Radiator Cooling,"Computing,Computer Accessories","₦ 1,700",,
45,1more-comfobuds-pro-true-wireless-headphones-144795770.html,2022-11-25 06:14:28.410814,0,1More Comfobuds Pro True Wireless Headphones,"Electronics,Accessories & Supplies,Audio & Video Accessories,Earphone & Headphone Accessories","₦ 42,999","₦ 50,999",16%
46,1st-eagle-32gb-usb-flash-drive-eagle-mpg1593139.html,2022-11-25 06:05:49.320869,0,Eagle 1st Eagle 32gb USB Flash Drive,"Computing,Computers,Data Storage,USB Flash Drives","₦ 5,500","₦ 7,000",21%
47,1st-eagle-high-speed-a-class-micro-memory-sd-card-original-8gb-152370657.html,2022-11-25 06:12:48.492468,1,1st Eagle High Speed A Class Micro Memory SD Card Original 8gb,"Phones & Tablets,Mobile Phone Accessories,Memory Cards,SD Cards","₦ 4,450","₦ 8,599",48%
48,1tb-ssd-western-digital-mpg1565651.html,2022-11-25 06:29:59.262340,1,Western Digital 1tb SSD Western Digital,"Computing,Computers,Computer Components,Internal Hard Drives","₦ 60,300","₦ 72,500",17%
49,2-in-1-spring-sensation-detergent-2kg-sunlight-mpg199658.html,2022-11-25 06:27:16.903831,0,Sunlight 2 In 1 Spring Sensation Detergent - 2kg,"Health & Beauty,Sports Nutrition,Healthy Snacks & Beverages,Cereal","₦ 5,000",,
50,2-slice-auto-pop-up-toaster-pop-212-black-binatone-mpg1671119.html,2022-11-25 06:23:19.994071,1,Binatone 2 Slice Auto Pop-Up Toaster - POP-212 - Black,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Ovens & Toasters","₦ 10,065","₦ 10,456",4%
51,2-way-radio-bf-888s-walkie-talkie-with-ear-piece-10-pieces-baofeng-mpg308386.html,2022-11-25 06:15:45.700932,0,Baofeng 2-Way Radio BF-888S Walkie Talkie WITH EAR PIECE- 10 Pieces,"Electronics,Portable Audio & Recorders,CB & Two-Way Radios","₦ 85,000","₦ 90,000",6%
52,2.0-heavy-duty-sound-speakers-tower-series.-emgold-mpg1584671.html,2022-11-25 06:12:44.293734,0,EMGOLD 2.0 Heavy Duty Sound Speakers Tower Series.,"Electronics,Home Audio,Home Theater Systems,Speakers,Subwoofers","₦ 66,820","₦ 100,000",33%
53,2.4ghz-usb-wireless-presenter-red-laser-pointer-ppt-remote-control-for-powerpoint-presentation-logitech-mpg288971.html,2022-11-25 06:10:40.395799,0,Logitech 2.4Ghz USB Wireless Presenter Red Laser Pointer PPT Remote,"Computing,Computer Accessories,Input Devices,Presentation Pointers","₦ 19,999","₦ 22,000",9%
54,2.4ghz-wireless-optical-gaming-mouse-with-usb-receiver-6-buttons-2000dpi-generic-mpg336709.html,2022-11-25 06:06:05.897254,1,6 Buttons Wireless Optical Gaming With USB Receiver - Black,"Computing,Computer Accessories,Keyboards, Mice & Accessories,Mice","₦ 2,805","₦ 3,300",15%
55,20-inch-led-flat-screen-television-amani-mpg1594653.html,2022-11-25 06:30:41.454868,1,Amani 20 Inch  LED Flat Screen Television,"Electronics,Television & Video,Televisions,LED & LCD TVs","₦ 36,000","₦ 39,000",8%
56,20-litre-electric-oven-cov-8320-a-black-century-mpg1672857.html,2022-11-25 06:22:19.447655,0,Century 20L Electric Oven +Toaster + Grill & Baker -Black,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Microwave Ovens,Speed-Cooking Microwave Ovens","₦ 29,999","₦ 40,000",25%
57,20000mah-dual-input-dual-output-fast-charging-power-bank-itel-mpg1633837.html,2022-11-25 06:15:12.227162,0,itel 20000mAh Dual Input & Output Fast Charging Strong Power Bank,"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 12,590","₦ 15,000",16%
58,20000mah-dual-input-dual-output-fast-charging-power-bank-itel-mpg1669198.html,2022-11-25 06:11:02.268087,0,itel 20000mAh Dual Input & Output Fast Charging Strong Power Bank,"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 9,290","₦ 10,000",7%
59,20000mah-dual-output-fast-charging-star-200-power-bank-itel-mpg1669336.html,2022-11-25 06:18:29.563066,1,itel Fast Charging 20000 MAh Star 200 Power Bank,"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 6,600","₦ 9,500",31%
60,20000mah-fast-charging-bright-torch-power-bank-free-fast-charger-itel-mpg1669308.html,2022-11-25 06:18:31.641361,1,"itel 20000mAh Fast Charging, Bright Torch Power Bank + Free Fast Charger","Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 10,990","₦ 16,000",31%
61,20000mah-powerbank-power-for-days-oraimo-mpg1669218.html,2022-11-25 06:11:33.431620,0,Oraimo 20000MAH Powerbank Power For Days,"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 15,700","₦ 25,000",37%
62,2000va-digital-stabilizer-haier-thermocool-mpg346728.html,2022-11-25 06:14:40.589610,0,Haier Thermocool 2000VA Digital Stabilizer,"Home & Office,Large Appliances & Home Improvement,Lighting & Ceiling Fans,Outdoor Lighting","₦ 47,500","₦ 59,000",19%
63,2000w-vacuum-cleaner-with-bagless-dust-tank-easy-home-mpg1584880.html,2022-11-25 06:21:40.080734,1,Beldray 750W Vacuum Cleaner With Bagless Dust Tank,"Home & Office,Small & Cooking Appliances,Small Appliances,Vacuum Cleaners,Bagless Vacuum Cleaner","₦ 38,999",,
64,20l-electric-oven-toaster-grill-baker-black-century-mpg1580333.html,2022-11-25 06:21:31.841559,1,Century 20L Electric Oven +Toaster + Grill & Baker -Black,"Home & Office,Small & Cooking Appliances,Cooking Appliances,Cook Top","₦ 26,900","₦ 29,000",7%
65,20l-electric-oven-with-grilling-function-es-9010-black.-eurosonic-mpg1610437.html,2022-11-25 06:16:35.042758,0,Eurosonic 20L Electric Oven With Grilling Function ES-9010 - Black.,"Home & Office,Home & Kitchen,Kitchen & Dining,Food Service Equipment & Supplies,Cooking Equipment","₦ 28,000","₦ 43,000",35%
66,2160-wireless-fm-black-itel-mpg1662394.html,2022-11-25 06:15:48.800232,1,itel 2160 Wireless FM - Black,"Phones & Tablets,Mobile Phones,Basic Phones,Cell Phones","₦ 6,910","₦ 12,500",45%
67,2160-wireless-fm-blue-itel-mpg1662393.html,2022-11-25 06:15:45.119486,1,itel 2160 Wireless FM - Blue,"Phones & Tablets,Mobile Phones,Basic Phones,Cell Phones","₦ 6,910","₦ 12,500",45%
68,2160-wireless-fm-bright-torchlight-call-recorder-dual-sim-mobile-blue-itel-mpg202020.html,2022-11-25 06:12:25.007609,1,"itel 2160 Wireless FM, Bright Torchlight, Call Recorder, Dual SIM Mobile - Blue","Phones & Tablets,Mobile Phones,Basic Phones","₦ 7,990","₦ 8,000",1%
69,22v-ac-power-adapter-supply-charger-for-hp-printer-deskjet-hp-mpg57571.html,2022-11-25 06:09:21.613918,0,Hp 22V AC Power Adapter Supply Charger For Printer Deskjet,"Computing,Computer Accessories","₦ 3,500",,
70,24mm-standard-label-catridge-tape-black-on-yellow-brother-mpg110557.html,2022-11-25 06:29:41.675387,1,Brother 24mm Standard Label Catridge Tape - Black On Yellow,"Computing,Computer Accessories,Printer Ink & Toner","₦ 12,800",,
71,256gb-ultra-otg-dual-usb-flash-drive-3.0-sandisk-mpg1662878.html,2022-11-25 06:05:18.008958,1,SanDisk 256GB Ultra OTG Dual USB Flash Drive 3.0,"Computing,Computers,Data Storage,USB Flash Drives","₦ 18,000",,
72,25l-inverter-microwave-oven-2535-lg-mpg1670321.html,2022-11-25 06:18:14.595577,0,LG 25L INVERTER MICROWAVE OVEN 2535,"Electronics,Television & Video,DVD-VCR Combos","₦ 101,640",,
